,Python/is_empty1,Python/is_empty2,C++/is_empty,C++/old_is_empty,/result,aut/states,aut/edges,aut/sccs,aut/ntsccs,aut/nrsccs,aut/nrstates,aut/sets,aut/acc,/bench
37,27.694824896752834,5.4994900594465435,5.497153940377757,519.8041870025918,FFFF,100000,125558,1,1,1,100000,20,((Fin(5) & Fin(10) & Fin(9) & Inf(8)) | Inf(14) | Fin(7)) & ((Fin(12)|Fin(15)) | ((Inf(0)&Inf(3)&Inf(11)) & Fin(13)) | ((Fin(1)|Fin(18)) & Inf(6) & (Inf(17) | Fin(19)) & Fin(4)) | (Fin(16) & Inf(2))),random
38,6.154690480325371,0.04893485320499167,0.045291428791824725,219.72196397837251,FFFF,100000,125662,8,2,2,99994,20,((Inf(6)&Inf(19)) & (Inf(9) | Fin(5))) | (Fin(11) & (Inf(1) | (Fin(14) & Inf(15))) & Fin(0) & (((Inf(8)&Inf(17)) & Fin(3) & Fin(12)) | (Inf(13) & Fin(18)) | ((Inf(4) | Inf(10)) & Inf(7))) & (Fin(2)|Fin(16))),random
39,6.518249359214678,0.09202814259333536,0.08758325859671459,248.86719399364665,FFFF,100000,125566,10,1,1,99991,20,((Fin(14) | (Inf(2) & Fin(17)) | Inf(19)) & (Fin(11) | Inf(5))) | (Inf(7) & Fin(10) & (((Inf(4)&Inf(6)) & Fin(13)) | (Fin(12)|Fin(18)) | Inf(9) | (Inf(8) & (Inf(16) | Inf(1) | Fin(0) | Inf(3))) | Inf(15))),random
40,18.573142000241205,1.3033387050381862,1.2937397751375102,181.4012505055871,FFFF,100000,125640,2,1,1,99999,20,(Inf(19) & Fin(16)) | (Fin(0)|Fin(9)|Fin(18)) | ((Inf(11) | Inf(1)) & Fin(6) & Fin(14) & (Inf(3)&Inf(5)&Inf(15)) & (Inf(7) | Fin(17)) & (Inf(10) | (Inf(4)&Inf(13))) & (Fin(2) | Inf(12)) & Fin(8)),random
41,39.30013200151734,31.764137704158202,12.316327998996712,137.79720751335844,TTTT,100000,125171,12,2,1,99981,20,(((Fin(1) | Inf(9)) & (Fin(12) | Inf(11)) & Inf(5)) | Inf(14) | Inf(18)) & ((Inf(15)&Inf(16)&Inf(19)) | Inf(6) | Inf(17)) & (Inf(2)&Inf(8)&Inf(10)) & (Inf(13) | Inf(4) | Fin(7)) & Fin(3) & Fin(0),random
42,6.151549539063126,0.037336163799045606,0.03373118549934588,137.42947299033403,FFFF,100000,125424,1,1,1,100000,20,((Inf(9) | Fin(13)) & Fin(0) & Fin(15) & Inf(8)) | (Inf(12)&Inf(17)) | Inf(1) | ((Inf(7) | Inf(4) | Inf(2)) & ((Inf(18) & (Inf(11) | (Inf(19) & Fin(16)))) | Fin(14) | Inf(10)) & Fin(3) & Inf(5)) | Fin(6),random
43,18.821114048478194,0.5181858619907871,0.5178026460343972,866.3972960202955,FFFF,100000,125335,1,1,1,100000,20,(((Inf(6) | Fin(1)) & Inf(11)) | Fin(7) | (Fin(19) & Fin(18) & (Inf(16) | Inf(2) | Inf(5)))) & (Fin(8) | Inf(4)) & ((Fin(9) & Fin(14) & (Fin(10) | Inf(13)) & (Fin(3)|Fin(15)) & Inf(12) & Fin(0)) | Fin(17)),random
44,116.96491698967293,104.43987901089713,46.11761079868302,833.0418639816344,FFFF,100000,125622,1,1,1,100000,20,(((Inf(10) | (Fin(5)|Fin(15)|Fin(19)) | Inf(1)) & Fin(11)) | (Fin(16) & ((Fin(14) & Fin(8)) | (Inf(7) & Fin(4))) & Fin(2) & Inf(13))) & ((Fin(18) & Fin(0)) | Fin(6) | (Inf(3)&Inf(9))) & (Fin(12) | Inf(17)),random
45,6.1538282001856714,0.10040357950492762,0.09582180619472638,361.9742639712058,FFFF,100000,125681,1,1,1,100000,20,(((Inf(12)&Inf(17)) | (Fin(1)|Fin(5)|Fin(14))) & ((Fin(10)|Fin(16)) | Inf(2) | Inf(13))) | (Fin(7)|Fin(19)) | Inf(15) | Inf(6) | (Fin(11) & (Inf(4)&Inf(8)&Inf(18))) | (Inf(3) & Fin(0) & Fin(9)),random
46,5.868217799579725,0.06872357160318643,0.0641789238085039,130.48266098485328,FFFF,100000,125379,8,1,1,99993,20,(Fin(19) & Inf(0)) | Inf(6) | Inf(2) | Inf(9) | Inf(1) | (Inf(12) & Fin(17)) | ((Inf(3)&Inf(4)&Inf(10)&Inf(13)&Inf(18)) & (Inf(16) | Fin(8))) | (Inf(15) & Fin(7)) | (Inf(5)&Inf(11)) | Inf(14),random
47,6.405623779864982,0.044319919997360555,0.04031219220487401,236.75559501862153,FFFF,100000,125425,2,1,1,99999,20,(Fin(19) & Fin(3)) | (Fin(10)|Fin(13)) | Inf(9) | (Inf(11) & ((Fin(4)|Fin(17)) | Inf(5))) | ((Inf(1)&Inf(16)) & (Inf(14) | Fin(12)) & Fin(18)) | (Inf(7) & (Fin(15) | Inf(2))) | Inf(0) | (Fin(6) & Fin(8)),random
48,39.8355498095043,31.89655930036679,12.312326248502359,82.91270919144154,TTTT,100000,125209,3,1,1,99998,20,(Inf(5) | (Inf(8)&Inf(11)) | (Fin(10)|Fin(17))) & (Inf(13) | Inf(19)) & (Inf(12) | Inf(18) | Inf(4)) & (Inf(3)&Inf(7)) & (Inf(2) | Inf(0) | Fin(15) | (Inf(1)&Inf(16))) & Fin(14) & Fin(9) & Fin(6),random
49,6.181534240022302,0.04637268000515178,0.042632266599684956,356.97215801337734,FFFF,100000,125360,19,3,2,99983,20,(Inf(2) | ((Inf(3) | ((Fin(0)|Fin(7)) & Inf(5))) & Fin(12)) | Inf(10) | (((Fin(9)|Fin(13)) | Inf(14)) & Inf(19))) & (((Fin(11)|Fin(17)) & Fin(18)) | Inf(4) | Inf(1) | Inf(16) | Inf(8) | (Inf(6)&Inf(15))),random
0,40.63262960407883,31.665345799410716,12.583854800323024,134.51718300348148,TTTT,100000,125499,1,1,1,100000,20,(((Inf(4) | Fin(16)) & (Inf(7)&Inf(18)) & Fin(18)) | Inf(5) | (Fin(5)|Fin(17)) | Inf(19) | ((Inf(8)&Inf(13)&Inf(15)) & Fin(5)) | (((Fin(17) & Inf(17) & Fin(8) & Fin(18)) | Inf(17) | Inf(18) | Inf(7) | Fin(12)) & Fin(9))) & Fin(18) & Fin(14) & Fin(18) & ((Fin(0) & Inf(5) & Fin(3) & Fin(2)) | ((Fin(10)|Fin(19)) & Fin(5)) | (Fin(1)|Fin(6)|Fin(9)|Fin(10)) | (Fin(18) & Inf(11))),random-rep
1,41.21101240161806,34.947125596227124,12.981711499742232,190.99599448964,TTTT,100000,125535,28,2,2,99974,20,Fin(9) & (Fin(7)|Fin(10)) & ((((((Fin(18) & Inf(14) & (Fin(6)|Fin(15)|Fin(19)) & (Fin(15) | Inf(16))) | Inf(10)) & (Fin(8) | Inf(1) | Inf(17) | Inf(11) | (((Fin(12)|Fin(13)) | Inf(6) | Inf(13)) & (Inf(6) | (Fin(6) & Inf(2)) | Inf(3) | Fin(2))))) | ((Fin(4)|Fin(6)) & Inf(17))) & Fin(14) & Fin(6)) | (((Fin(8) & Fin(8)) | (Fin(0) & Fin(12)) | (Fin(4) & Fin(10))) & ((Inf(8)&Inf(10)) | (Inf(6) & (Inf(5) | Fin(19)))) & Fin(14)) | (Fin(10) & Fin(15) & (Fin(6)|Fin(16)) & Fin(11)) | (Fin(12) & (Inf(10) | Inf(8)))),random-rep
